bricklink_id,brickowl_id
663stk01,781719
618stk01,273314
628.2stk01,273314
310.3stk01,484252
311.1stk01,484252
312.3stk01,484252
1550stk01,776184
355.1stk02,912610
357.1stk02,912610
460stk01,611374
575.2stk03,611374
653stk01,611374
687stk01,649261
180stk01,990586
181stk01,218034
131stk01,947612
171stk01,278201
161stk01,338519
694stk01,338519
685stk01,411038
270.2stk01,892534
271.1stk01,730808
272stk01,166772
290.2stk01,108776
291stk01,77956
292stk01,740543
293stk01,73714
698.1stk01,604768
296stk01,45691
939stk02,257090
940stk02,257090
multistk23,257090
570stk02,708965
384stk01,725947
760.2stk01,725947
939stk03,133046
274stk01,911386
275.1stk01,194145
294stk01,808239
295stk01,688627
263.1stk01,339512
264.1stk01,774443
265.1stk01,780593
266.1stk01,956998
455.1stk01,887214
657stk01,887214
361stk01,438234
723.2stk01,806828
725.2stk01,611961
1552.2stk01,375357
392.1stk01,792264
367.1stk01,748909
367.1stk01,944884
565.1stk01,748909
565.1stk01,944884
364stk01,728174
365stk01,812928
363.1stk01,740427
555.1stk01,740427
133stk01,378210
137.2stk01,40907
148stk01,586200
182stk01,302613
1650stk01,187889
1650stk02,989552
390.2stk01,525437
391.1stk01,780906
258stk01,701449
456stk01,401765
661stk01,401765
386stk01,309779
770stk01,309779
369stk01,10059
575.2stk01,10059
709stk01,90321
315.2stk02,957622
314.1stk01,669812
315.2stk01,66041
183stk01,320381
395.1stk01,122487
1560.2stk01,989195
1561.2stk01,304050
1562.3stk01,4977
393.1stk01,435301
394stk01,576292
10298stk01,751783
40529stk01,518119
40530stk01,1340023
41719stk01,947815
41708stk01,1111785
41710stk01,3915
41720stk01,463456
41721stk01,208052
43201stk01,338786
75327stk01,33146
1587pb01,253312
1598pb01,250196
1642pb01,472032
1642pb02,858293
1648pb01,1018150
1675pb01,1204540
42141stk03a,211925
75343stk01,1358284
1723pb01,1117403
1820pb01,961339
75326stk01,98513
1889pb01,1419034
66132pb01,560647
1935pb01,1125851
1936,1125979
1937,584414
1938,1125069
2135,404892
2137pb02,626144
2137pb01,1068286
2137pb03,863517
2137pb04,677099
2889pb01,383466
2889pb02,499870
2889pb03,3868
3231pb01,738626
1589.1stk01,75075
0901,393851
0902,229626
0903,671853
0904,99648
1,697619
44202c01pb01,449699
71771stk01,790241
71772stk01,1471746
71773stk01,353845
71775stk01,686712
10306stk01,316443
10302stk01,330540
41712stk01,364044
41722stk01,963700
41711stk01,1303278
41717stk01,71987
41713stk01,204686
41714stk01,1134181
75341stk01,1221381
21335stk01,795247
75342stk01,200715
75324stk01,110041
80038stk01,658308
21331stk02,1124329
71768stk01,855523
71769stk01,76439
71770stk01,1417586
80108stk01,846669
26697,354951
4200stk01,988386
4201stk01,816931
4202stk01,289983
4203stk01,122276
4204stk01,948654
10221stk01,16665
4207stk01,710838
41055stk01,551823
10039c01,143156
80039pls01,892721
1968c01,1316081
100452pb01,1213987
100453pb01,237322
100453pb02,342511
100456pb01,678256
10048,265093
10049,896787
10049pb01,422757
10050,903307
10051,233232
10051pb01,108519
10052,333703
10053,96903
10054,817785
10054pb01,212885
